出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1110912,11108,1117,測試公司18,光電業,4598654,5031571,5842047,-8.604013,-21.283516,22993270,24347638,-5.562626,-
1110912,11108,1118,測試公司19,光電業,4551252,4713527,5241228,-3.442751,-13.164396,27307512,27661961,-1.281359,需求增加
1110912,11108,1119,測試公司20,光電業,9544638,9651295,8721437,-1.105106,9.438823,76357104,86644189,-11.872793,需求增加
1110912,11108,1120,測試公司21,水泥工業,4622645,4396490,3958216,5.14399,16.786072,27735870,28075637,-1.210184,營收下滑
1110912,11108,1121,測試公司22,其他電子業,7680145,8314478,6019522,-7.629258,27.58729,61441160,62650680,-1.930578,營收成長
1110912,11108,1122,測試公司23,電子零組件業,464874,476603,596715,-2.460958,-22.094467,2324370,2638648,-11.910569,需求增加
1110912,11108,1123,測試公司24,光電業,3999544,4711398,3434178,-15.109188,16.462921,23997264,23319933,2.904515,營收下滑
1110912,11108,1124,測試公司25,其他電子業,4965339,4381945,3625508,13.313586,36.955676,34757373,38849092,-10.532341,需求增加
1110912,11108,1125,測試公司26,水泥工業,9297428,10021762,10207718,-7.227611,-8.917664,74379424,65087862,14.275414,營收下滑
1110912,11108,1126,測試公司27,半導體業,1908930,1998263,1528460,-4.470533,24.892375,15271440,14599009,4.606004,營收下滑
1110912,11108,1127,測試公司28,電子零組件業,6621928,6342754,5674101,4.401463,16.704444,39731568,33929437,17.100581,-
1110912,11108,1128,測試公司29,其他電子業,9692745,11268632,12046600,-13.984723,-19.53958,58156470,66246060,-12.211428,需求增加
1110912,11108,1129,測試公司30,電子零組件業,5002069,5191188,5108290,-3.643077,-2.079385,35014483,31448931,11.337594,季節性因素
1110912,11108,1130,測試公司31,光電業,7548524,7722324,8860471,-2.250618,-14.806741,45291144,38994647,16.14708,營收下滑
1110912,11108,1131,測試公司32,光電業,5105125,5438803,3857990,-6.135137,32.32603,30630750,34257387,-10.586438,需求增加
1110912,11108,1132,測試公司33,水泥工業,8827041,9196522,8895002,-4.017617,-0.764036,44135205,45110354,-2.161697,需求增加
1110912,11108,1133,測試公司34,電子零組件業,9061813,7374157,9527216,22.886087,-4.884984,72494504,68875261,5.254779,-
1110912,11108,1134,測試公司35,半導體業,3441106,2987148,3981250,15.197037,-13.567196,17205530,17379767,-1.002528,營收下滑
1110912,11108,1135,測試公司36,水泥工業,5584314,4964396,4103841,12.487279,36.075301,27921570,29558003,-5.536345,-
1110912,11108,1136,測試公司37,電子零組件業,3598164,3445305,3874834,4.436733,-7.140177,17990820,20205346,-10.960099,季節性因素
1110912,11108,1137,測試公司38,其他電子業,1524556,1668564,1196722,-8.630655,27.394332,9147336,8052330,13.598623,需求增加
1110912,11108,1138,測試公司39,半導體業,6938115,8115047,6012242,-14.503083,15.399796,41628690,44982789,-7.456405,營收下滑
1110912,11108,1139,測試公司40,光電業,2416337,2816252,2272942,-14.200256,6.308784,14498022,14535236,-0.256026,需求增加
1110912,11108,1140,測試公司41,光電業,9002189,10735043,7617182,-16.142031,18.182669,54013134,51614375,4.647463,營收成長
1110912,11108,1141,測試公司42,半導體業,2223353,2345118,2192674,-5.192276,1.399159,13340118,12306119,8.402316,需求增加
1110912,11108,1142,測試公司43,其他電子業,8343531,8528418,6733960,-2.167893,23.902295,50061186,55066909,-9.090256,季節性因素
1110912,11108,1143,測試公司44,水泥工業,3970582,4429251,3614640,-10.355453,9.847232,19852910,18509965,7.255254,營收下滑
1110912,11108,1144,測試公司45,水泥工業,2795483,3158719,2891784,-11.499472,-3.330159,16772898,18497278,-9.322345,季節性因素
1110912,11108,1145,測試公司46,其他電子業,4505247,4903752,3666123,-8.126533,22.888594,31536729,27243485,15.758792,-
1110912,11108,1146,測試公司47,電子零組件業,1748596,1613601,2254628,8.366071,-22.444146,13988768,14447790,-3.177109,需求增加
1110912,11108,1147,測試公司48,水泥工業,2043640,1771906,2196076,15.335689,-6.94129,14305480,12336435,15.961216,-
1110912,11108,1148,測試公司49,光電業,6318354,7108674,5023050,-11.117685,25.787201,50546832,52780990,-4.232884,季節性因素
1110912,11108,1149,測試公司50,水泥工業,5685694,4985249,7256581,14.050351,-21.647757,45485552,39169272,16.1256,季節性因素
1110912,11108,1150,測試公司51,光電業,2878047,2737947,2694961,5.116973,6.793642,20146329,17835970,12.953369,需求增加
1110912,11108,1151,測試公司52,電子零組件業,2697584,2899029,2673320,-6.948706,0.907635,18883088,16760406,12.66486,營收成長
1110912,11108,1152,測試公司53,水泥工業,3308702,2955596,2617476,11.947032,26.408112,19852212,22390518,-11.336522,營收成長
1110912,11108,1153,測試公司54,光電業,6707964,6813182,7415138,-1.54433,-9.536896,40247784,45415008,-11.377789,營收成長
1110912,11108,1154,測試公司55,其他電子業,2766590,2655053,3079182,4.200933,-10.151787,22132720,20033941,10.476117,營收下滑
1110912,11108,1155,測試公司56,水泥工業,9198037,8954692,8157760,2.717514,12.751993,55188222,48237587,14.409168,營收下滑
1110912,11108,1156,測試公司57,半導體業,3110062,3035092,2970341,2.470106,4.703871,24880496,23140094,7.521154,營收成長
1110912,11108,1157,測試公司58,光電業,8932719,8324207,10381299,7.31015,-13.953745,44663595,47545991,-6.062332,需求增加
1110912,11108,1158,測試公司59,其他電子業,652139,776738,493935,-16.041316,32.029316,5217112,5908994,-11.708964,需求增加
1110912,11108,1159,測試公司60,光電業,4126575,4302924,5134912,-4.098353,-19.63689,28886025,27825153,3.812637,需求增加
1110912,11108,1160,測試公司61,半導體業,3602659,3837127,4294678,-6.110509,-16.113408,25218613,22592448,11.624083,需求增加
1110912,11108,1161,測試公司62,電子零組件業,3270963,2859020,3786260,14.408539,-13.609657,16354815,18205139,-10.163746,季節性因素
1110912,11108,1162,測試公司63,半導體業,8845487,8348676,7559917,5.950776,17.005081,44227435,42988102,2.882967,營收成長
1110912,11108,1163,測試公司64,水泥工業,8778830,9585791,8983016,-8.418304,-2.273023,52672980,54763540,-3.81743,營收成長
1110912,11108,1164,測試公司65,電子零組件業,6312042,6589295,4479888,-4.207628,40.897317,44184294,40950804,7.896035,季節性因素
1110912,11108,1165,測試公司66,半導體業,1652735,1691927,1960784,-2.316412,-15.710502,8263675,7408485,11.543386,營收成長
1110912,11108,1166,測試公司67,光電業,2293529,2649096,2727081,-13.422201,-15.898024,11467645,10534476,8.858238,-
1110912,11108,1167,測試公司68,水泥工業,1190957,1088818,1260441,9.380723,-5.512674,5954785,6020570,-1.092671,需求增加
1110912,11108,1168,測試公司69,其他電子業,8310705,8403101,8959180,-1.099546,-7.238107,49864230,47538738,4.891783,營收成長
1110912,11108,1169,測試公司70,半導體業,8352186,8180905,7419765,2.093668,12.566719,41760930,44107949,-5.321079,營收下滑
1110912,11108,1170,測試公司71,其他電子業,9439757,10141963,11428753,-6.923768,-17.403439,47198785,44274174,6.605682,季節性因素
1110912,11108,1171,測試公司72,其他電子業,5985450,4902765,4422801,22.083151,35.33166,29927250,33650045,-11.063269,需求增加
1110912,11108,1172,測試公司73,半導體業,5964459,6260321,6744923,-4.725988,-11.571133,47715672,45972565,3.791624,營收下滑
1110912,11108,1173,測試公司74,半導體業,5690415,6142119,4596325,-7.354205,23.803582,34142490,32454192,5.202095,營收下滑
1110912,11108,1174,測試公司75,半導體業,7712019,6205510,8398371,24.276957,-8.172442,38560095,38318659,0.630074,需求增加
1110912,11108,1175,測試公司76,水泥工業,8924613,8763150,9937459,1.842522,-10.192203,71396904,78652533,-9.224915,需求增加
1110912,11108,1176,測試公司77,電子零組件業,5040649,4807371,3697789,4.852507,36.315214,30243894,30140172,0.344132,營收下滑
1110912,11108,1177,測試公司78,其他電子業,5806403,6569143,6677525,-11.610951,-13.045582,29032015,26555453,9.326002,營收下滑
1110912,11108,1178,測試公司79,半導體業,9518196,7913773,10461230,20.273806,-9.014561,47590980,50620673,-5.98509,季節性因素
1110912,11108,1179,測試公司80,電子零組件業,6429681,7120959,8052700,-9.707653,-20.154967,51437448,58660663,-12.313558,需求增加
1110912,11108,1180,測試公司81,水泥工業,8212002,8071407,10402093,1.74189,-21.05433,65696016,58409522,12.474839,營收下滑
1110912,11108,1181,測試公司82,光電業,7824319,6786489,9786856,15.292591,-20.052783,39121595,37190901,5.191307,需求增加
1110912,11108,1182,測試公司83,電子零組件業,1825658,1806566,1476939,1.056812,23.610928,10953948,11256898,-2.691239,營收下滑
1110912,11108,1183,測試公司84,其他電子業,7234159,7991189,8260983,-9.473309,-12.429804,43404954,37476879,15.817953,營收下滑
1110912,11108,1184,測試公司85,電子零組件業,972819,1135076,708070,-14.294814,37.39023,7782552,7278841,6.920209,-
1110912,11108,1185,測試公司86,半導體業,1279079,1472622,1019867,-13.142748,25.416255,7674474,8428542,-8.946601,季節性因素
1110912,11108,1186,測試公司87,半導體業,3564731,4057713,4011077,-12.149257,-11.127834,24953117,25661360,-2.759959,需求增加
1110912,11108,1187,測試公司88,電子零組件業,4517992,5028719,4545317,-10.156205,-0.601168,36143936,38293320,-5.612948,營收成長
1110912,11108,1188,測試公司89,光電業,9605075,9264740,11718672,3.673444,-18.036148,76840600,83823386,-8.330355,營收下滑
1110912,11108,1189,測試公司90,水泥工業,8757956,8268231,7584328,5.922972,15.474383,70063648,73833631,-5.106051,營收下滑
1110912,11108,1190,測試公司91,其他電子業,3421365,4042090,2406960,-15.356536,42.144655,23949555,24965988,-4.071271,季節性因素
1110912,11108,1191,測試公司92,光電業,7491297,6486835,5641096,15.484624,32.798609,59930376,52526847,14.094752,營收成長
1110912,11108,1192,測試公司93,其他電子業,3197752,2738504,3671335,16.770032,-12.899477,22384264,25130568,-10.928141,營收成長
1110912,11108,1193,測試公司94,電子零組件業,3635381,3542527,3726156,2.621123,-2.436157,21812286,23531517,-7.306078,-
1110912,11108,1194,測試公司95,半導體業,9057991,8061942,9468640,12.354951,-4.336938,63405937,68593197,-7.562353,季節性因素
1110912,11108,1195,測試公司96,電子零組件業,3736859,3882891,4451027,-3.760909,-16.045016,22421154,22587640,-0.737067,營收下滑
1110912,11108,1196,測試公司97,光電業,5348751,6322337,6823467,-15.399147,-21.612415,37441257,34812965,7.549751,季節性因素
1110912,11108,1197,測試公司98,半導體業,8679738,10219911,10744526,-15.070317,-19.217116,52078428,59142234,-11.943759,-
1110912,11108,1198,測試公司99,水泥工業,6554243,6517769,7146306,0.559609,-8.284882,45879701,50513630,-9.173621,-
1110912,11108,1199,測試公司100,其他電子業,8601851,7049616,10909143,22.018717,-21.150076,43009255,48795927,-11.858924,需求增加
1110912,11108,1200,測試公司101,半導體業,7265796,8429542,6787349,-13.805566,7.0491,43594776,45155777,-3.456924,-
1110912,11108,1201,測試公司102,光電業,9348634,7996748,7038691,16.905447,32.817792,56091804,57890290,-3.106714,需求增加
1110912,11108,1202,測試公司103,水泥工業,7496943,6453248,8566265,16.173174,-12.482943,59975544,54774238,9.495898,-
1110912,11108,1203,測試公司104,光電業,6472798,6334315,7293284,2.186235,-11.249884,45309586,46271441,-2.078723,營收成長
1110912,11108,1204,測試公司105,水泥工業,4423966,5170129,4850968,-14.432193,-8.802408,26543796,29881517,-11.169851,季節性因素
1110912,11108,1205,測試公司106,電子零組件業,472353,515455,443936,-8.361933,6.401148,2834118,2604860,8.801164,需求增加
1110912,11108,1206,測試公司107,半導體業,2249362,2279786,2305145,-1.334511,-2.419935,11246810,12003466,-6.303646,季節性因素
1110912,11108,1207,測試公司108,電子零組件業,4137040,4820555,4489222,-14.179176,-7.845056,28959280,25254863,14.668133,營收成長
1110912,11108,1208,測試公司109,水泥工業,2331188,2082531,2228002,11.940134,4.631324,18649504,18517254,0.714199,營收成長
1110912,11108,1209,測試公司110,其他電子業,8795534,8188557,7262757,7.412503,21.104616,70364272,68736635,2.367932,營收成長
1110912,11108,1210,測試公司111,電子零組件業,1188317,1194231,1004810,-0.495214,18.262856,8318219,8754297,-4.981302,營收成長
1110912,11108,1211,測試公司112,電子零組件業,1075479,1039009,884557,3.510075,21.583911,6452874,5779661,11.647967,需求增加
1110912,11108,1212,測試公司113,電子零組件業,8078089,7810660,6155736,3.423898,31.228646,40390445,41755045,-3.268108,營收下滑
1110912,11108,1213,測試公司114,其他電子業,9368359,10784499,7557319,-13.131254,23.964054,56210154,51144831,9.903881,營收成長
1110912,11108,1214,測試公司115,半導體業,1468480,1717018,1812187,-14.474979,-18.96642,10279360,10112389,1.651153,營收下滑
1110912,11108,1215,測試公司116,半導體業,2091640,2062183,2481173,1.428438,-15.69955,14641480,14882662,-1.620557,-
1110912,11108,1216,測試公司117,其他電子業,4457353,3579036,3385183,24.540603,31.672438,35658824,34145636,4.431571,需求增加
1110912,11108,1217,測試公司118,水泥工業,6280749,7063472,5535392,-11.081278,13.465297,37684494,34437397,9.428985,季節性因素
1110912,11108,1218,測試公司119,其他電子業,2322981,1936292,1662129,19.970593,39.759369,18583848,18126648,2.522253,營收下滑
1110912,11108,1219,測試公司120,半導體業,8620749,9949177,7443925,-13.35214,15.809187,68965992,76469989,-9.812996,季節性因素
1110912,11108,1220,測試公司121,半導體業,7585138,6111445,9616923,24.113659,-21.127184,60681104,57098838,6.273798,-
1110912,11108,1221,測試公司122,其他電子業,7714549,6895199,5687375,11.882906,35.643403,38572745,39113780,-1.383234,季節性因素
1110912,11108,1222,測試公司123,電子零組件業,5490667,6012520,5364417,-8.679439,2.353471,27453335,27989912,-1.917037,季節性因素
1110912,11108,1223,測試公司124,電子零組件業,6985924,7776757,6287313,-10.169187,11.11144,48901468,51203415,-4.49569,營收下滑
1110912,11108,1224,測試公司125,水泥工業,3770974,3490637,2922900,8.031113,29.014814,26396818,28200800,-6.396918,營收下滑
1110912,11108,1225,測試公司126,電子零組件業,1765011,1825242,1869412,-3.299891,-5.584697,12355077,11263545,9.690839,需求增加
1110912,11108,1226,測試公司127,半導體業,2360113,2751361,2268076,-14.220162,4.057933,11800565,11207606,5.290684,營收下滑
1110912,11108,1227,測試公司128,其他電子業,4180354,4582622,3400448,-8.778119,22.93539,33442832,38005436,-12.005135,需求增加
1110912,11108,1228,測試公司129,電子零組件業,5252763,4914484,6503142,6.883307,-19.227306,26263815,24602709,6.75172,需求增加
1110912,11108,1229,測試公司130,電子零組件業,6870438,6701973,5652345,2.513663,21.550224,41222628,44917241,-8.225378,需求增加
1110912,11108,1230,測試公司131,其他電子業,8974279,9835172,10422409,-8.753207,-13.894389,71794232,61455663,16.822809,營收成長
1110912,11108,1231,測試公司132,其他電子業,1345129,1170049,1530996,14.963476,-12.140267,6725645,5820140,15.558131,-
1110912,11108,1232,測試公司133,水泥工業,5426485,6230866,5379257,-12.909618,0.877965,37985395,41095785,-7.568635,季節性因素
1110912,11108,1233,測試公司134,電子零組件業,9770293,9800104,12115153,-0.304191,-19.35477,78162344,87850115,-11.027613,-
1110912,11108,1234,測試公司135,半導體業,4588087,4991693,4505032,-8.085553,1.843605,22940435,20235007,13.370037,需求增加
1110912,11108,1235,測試公司136,其他電子業,3793631,4449144,3529479,-14.733463,7.484164,18968155,19379601,-2.123088,需求增加
1110912,11108,1236,測試公司137,光電業,1046901,1017481,732975,2.891454,42.829019,7328307,7390303,-0.838883,-
1110912,11108,1237,測試公司138,電子零組件業,2727702,3054169,3056781,-10.689225,-10.765541,13638510,11931900,14.302919,營收成長
1110912,11108,1238,測試公司139,電子零組件業,2706145,2391674,1910108,13.148573,41.674973,18943015,17974220,5.389914,需求增加
1110912,11108,1239,測試公司140,光電業,492259,561893,438904,-12.392751,12.156417,3938072,4172683,-5.622545,營收成長
1110912,11108,1240,測試公司141,水泥工業,2503627,2047762,2922321,22.26162,-14.327447,12518135,12311631,1.677308,營收下滑
1110912,11108,1241,測試公司142,其他電子業,9348097,10615699,10113415,-11.940825,-7.567355,65436679,74722014,-12.426505,營收下滑
1110912,11108,1242,測試公司143,電子零組件業,9793759,11104316,7317065,-11.802231,33.848189,68556313,69681410,-1.61463,季節性因素
1110912,11108,1243,測試公司144,電子零組件業,6545249,6089986,7610189,7.4756,-13.993608,52361992,57662043,-9.191577,季節性因素
1110912,11108,1244,測試公司145,水泥工業,7094077,6539632,8016521,8.478229,-11.506787,35470385,33240993,6.706755,需求增加
1110912,11108,1245,測試公司146,水泥工業,1748212,1552619,1264029,12.597617,38.304738,8741060,9232494,-5.322874,-
1110912,11108,1246,測試公司147,半導體業,7243709,7458926,7227947,-2.885362,0.21807,36218545,36288895,-0.193861,-
1110912,11108,1247,測試公司148,水泥工業,4437601,3867595,5182122,14.737996,-14.367107,35500808,33091098,7.282049,-
1110912,11108,1248,測試公司149,半導體業,9108445,9290452,9331412,-1.959076,-2.389424,63759115,56399180,13.04972,需求增加
1110912,11108,1249,測試公司150,其他電子業,7500111,7147922,9434115,4.927152,-20.500111,60000888,67838683,-11.553578,季節性因素
1110912,11108,1250,測試公司151,其他電子業,6540206,5725437,5317250,14.230687,22.999784,45781442,40945796,11.809872,營收下滑
1110912,11108,1251,測試公司152,半導體業,9057751,7920463,7141070,14.358858,26.840249,63404257,71380804,-11.174639,營收下滑
1110912,11108,1252,測試公司153,水泥工業,279655,239483,291829,16.774468,-4.171621,1677930,1893669,-11.392646,營收成長
1110912,11108,1253,測試公司154,電子零組件業,7889478,9386969,6928237,-15.95287,13.874251,47336868,41295778,14.628832,營收下滑
1110912,11108,1254,測試公司155,電子零組件業,5628370,6383767,4022886,-11.833092,39.908762,39398590,34855560,13.033875,營收成長
1110912,11108,1255,測試公司156,水泥工業,2488833,2154019,2544720,15.543688,-2.196194,12444165,12178605,2.180545,季節性因素
1110912,11108,1256,測試公司157,水泥工業,5142577,5036570,5961512,2.104746,-13.737035,25712885,23249290,10.596431,季節性因素
1110912,11108,1257,測試公司158,半導體業,6254811,5158963,6236150,21.241633,0.299239,50038488,46882976,6.730614,季節性因素
1110912,11108,1258,測試公司159,光電業,633344,752536,726240,-15.838711,-12.791364,3800064,3262324,16.483341,營收下滑
1110912,11108,1259,測試公司160,光電業,492706,474861,420176,3.757942,17.261814,3448942,3578971,-3.633139,-
1110912,11108,1260,測試公司161,其他電子業,3226892,3360508,2981649,-3.976066,8.225079,25815136,29302781,-11.902096,營收下滑
1110912,11108,1261,測試公司162,半導體業,4846029,4838075,3734695,0.164404,29.757022,29076174,30590885,-4.951511,-
1110912,11108,1262,測試公司163,水泥工業,2907946,2386513,2520159,21.849158,15.387402,17447676,16107711,8.31878,-
1110912,11108,1263,測試公司164,光電業,4806211,3865366,6180721,24.340386,-22.238668,24031055,23815571,0.904803,營收下滑
1110912,11108,1264,測試公司165,電子零組件業,9625131,10397828,7106045,-7.431331,35.449902,67375917,65010349,3.638756,需求增加
1110912,11108,1265,測試公司166,光電業,1378113,1435749,1574512,-4.014351,-12.473643,6890565,5996511,14.90957,季節性因素
1110912,11108,1266,測試公司167,光電業,763080,660519,703205,15.527335,8.514587,3815400,4335350,-11.993265,需求增加
1110912,11108,1267,測試公司168,水泥工業,2340778,2581289,1704651,-9.317477,37.31714,16385446,16392231,-0.041392,需求增加
1110912,11108,1268,測試公司169,電子零組件業,807906,816298,859551,-1.028056,-6.008369,4847436,5514358,-12.094282,營收下滑
1110912,11108,1269,測試公司170,電子零組件業,8805282,8624516,7642350,2.095955,15.216942,52831692,53296766,-0.872612,-
1110912,11108,1270,測試公司171,半導體業,1387266,1112699,1288981,24.675766,7.625015,11098128,11453836,-3.10558,營收成長
1110912,11108,1271,測試公司172,半導體業,3846422,4534851,3740581,-15.180852,2.829534,23078532,25767443,-10.435304,-
1110912,11108,1272,測試公司173,水泥工業,2469145,2375411,3095768,3.946012,-20.241278,14814870,16920267,-12.443048,營收下滑
1110912,11108,1273,測試公司174,其他電子業,532310,495005,434895,7.536288,22.39966,4258480,4369244,-2.535084,營收下滑
1110912,11108,1274,測試公司175,其他電子業,8006558,8238670,9149587,-2.817348,-12.492684,64052464,62101859,3.140977,需求增加
1110912,11108,1275,測試公司176,其他電子業,5812639,5260245,5410911,10.501298,7.424406,46501112,41389572,12.349826,-
1110912,11108,1276,測試公司177,半導體業,3427574,3828395,3977832,-10.469688,-13.833113,23993018,25277027,-5.079747,營收成長
1110912,11108,1277,測試公司178,水泥工業,4585819,5223958,5419367,-12.215623,-15.380911,32100733,33306418,-3.619978,需求增加
1110912,11108,1278,測試公司179,水泥工業,4647350,5528539,5927992,-15.938913,-21.603302,32531450,37309079,-12.80554,季節性因素
1110912,11108,1279,測試公司180,水泥工業,8420163,8412172,6841275,0.094993,23.078856,67361304,75322479,-10.569454,-
1110912,11108,1280,測試公司181,其他電子業,7114762,6689872,6664636,6.351243,6.753947,42688572,42480537,0.489718,需求增加
1110912,11108,1281,測試公司182,半導體業,6409016,7470667,8254189,-14.210927,-22.354383,51272128,47435957,8.087053,營收成長
1110912,11108,1282,測試公司183,水泥工業,9437273,10700571,9409073,-11.805893,0.299711,56623638,54766301,3.391387,-
1110912,11108,1283,測試公司184,半導體業,7368062,8669652,7759169,-15.013175,-5.040578,58944496,65331707,-9.776587,需求增加
1110912,11108,1284,測試公司185,光電業,5248140,5212289,5094430,0.687817,3.017217,36736980,38379590,-4.279905,營收下滑
1110912,11108,1285,測試公司186,光電業,3282533,3069227,2794505,6.949828,17.463844,19695198,16793095,17.281526,-
1110912,11108,1286,測試公司187,半導體業,6221930,5473124,7485296,13.68151,-16.87797,49775440,48147530,3.381087,季節性因素
1110912,11108,1287,測試公司188,半導體業,1294114,1489023,1387606,-13.089724,-6.737647,9058798,9441280,-4.051167,需求增加
1110912,11108,1288,測試公司189,電子零組件業,9715993,8220420,11449240,18.193389,-15.138533,68011951,60517979,12.383051,營收成長
1110912,11108,1289,測試公司190,光電業,8413785,9130562,7284317,-7.850305,15.505476,50482710,48509534,4.067605,-
1110912,11108,1290,測試公司191,電子零組件業,6358147,7437644,5979243,-14.513964,6.336989,31790735,33974326,-6.42718,營收成長
1110912,11108,1291,測試公司192,半導體業,6883273,7996442,8084740,-13.920804,-14.860923,41299638,45691138,-9.611273,營收下滑
1110912,11108,1292,測試公司193,水泥工業,7245969,6916211,8642375,4.7679,-16.157665,57967752,51037859,13.577946,營收成長
1110912,11108,1293,測試公司194,電子零組件業,9887996,8805907,11406130,12.288217,-13.309808,59327976,57459397,3.251999,營收下滑
1110912,11108,1294,測試公司195,電子零組件業,3889977,4387774,4600333,-11.345092,-15.441404,23339862,23696960,-1.506936,營收成長
1110912,11108,1295,測試公司196,光電業,8611680,9894583,6390097,-12.965711,34.766029,68893440,60667049,13.5599,營收下滑
1110912,11108,1296,測試公司197,其他電子業,5908689,5678954,6795816,4.045375,-13.054017,29543445,31286070,-5.569971,營收下滑
1110912,11108,1297,測試公司198,半導體業,6181398,6455822,7785126,-4.250799,-20.599898,49451184,54638104,-9.493228,營收下滑
1110912,11108,1298,測試公司199,水泥工業,2198044,1958192,1840165,12.248646,19.448202,17584352,16257440,8.161875,需求增加
1110912,11108,1299,測試公司200,其他電子業,622357,591797,710570,5.163933,-12.4144,3111785,3064650,1.538022,-
