
﻿statistic_yyy,site_id,people_total,area,population_density
113,高雄市鹽埕區,22275,1.4161,15730
113,高雄市鼓山區,141277,14.7523,9577
113,高雄市左營區,197784,19.3823,10204
113,高雄市楠梓區,194404,25.8276,7527
113,高雄市三民區,330287,19.7866,16692
113,高雄市新興區,49573,1.9764,25082
113,高雄市前金區,27199,1.8573,14644
113,高雄市苓雅區,163295,8.1522,20031
113,高雄市前鎮區,178290,19.1207,9324
113,高雄市旗津區,25587,1.7341,14755
113,高雄市小港區,154354,45.4426,3397
113,高雄市鳳山區,355175,26.7590,13273
113,高雄市林園區,67903,32.2860,2103
113,高雄市大寮區,112213,71.0400,1580
113,高雄市大樹區,40163,66.9811,600
113,高雄市大社區,33754,26.5848,1270
113,高雄市仁武區,98956,36.0808,2743
113,高雄市鳥松區,44233,24.5927,1799
113,高雄市岡山區,95176,47.9421,1985
113,高雄市橋頭區,42671,25.9379,1645
113,高雄市燕巢區,28576,65.3950,437
113,高雄市田寮區,6298,92.6802,68
113,高雄市阿蓮區,27131,34.6164,784
113,高雄市路竹區,49715,48.4348,1026
113,高雄市湖內區,29396,20.1615,1458
113,高雄市茄萣區,28959,15.7624,1837
113,高雄市永安區,13823,22.6141,611
113,高雄市彌陀區,18069,14.7772,1223
113,高雄市梓官區,34792,11.5967,3000
113,高雄市旗山區,33818,94.6122,357
113,高雄市美濃區,36545,120.0316,304
113,高雄市六龜區,11511,194.1584,59
113,高雄市甲仙區,5412,124.0340,44
113,高雄市杉林區,10714,104.0036,103
113,高雄市內門區,12893,95.6224,135
113,高雄市茂林區,1869,194.0000,10
113,高雄市桃源區,4190,928.9800,5
113,高雄市那瑪夏區,3132,252.9895,12
113,宜蘭縣宜蘭市,94890,29.4080,3227
113,宜蘭縣羅東鎮,69638,11.3448,6138
113,宜蘭縣蘇澳鎮,36882,89.0196,414
113,宜蘭縣頭城鎮,27982,100.8930,277
113,宜蘭縣礁溪鄉,35399,101.4278,349
113,宜蘭縣壯圍鄉,24469,38.4769,636
113,宜蘭縣員山鄉,31986,111.9106,286
113,宜蘭縣冬山鄉,53117,79.8573,665
113,宜蘭縣五結鄉,41600,38.8671,1070
113,宜蘭縣三星鄉,21179,144.2238,147
113,宜蘭縣大同鄉,5980,657.5442,9
113,宜蘭縣南澳鄉,6090,740.6520,8
113,新竹縣竹北市,219605,46.8341,4689
113,新竹縣關西鎮,26388,125.5193,210
113,新竹縣新埔鎮,33464,72.1911,464
113,新竹縣竹東鎮,97733,53.5133,1826
113,新竹縣湖口鄉,83748,58.4303,1433
113,新竹縣橫山鄉,11990,66.3502,181
113,新竹縣新豐鄉,59336,46.3496,1280
113,新竹縣芎林鄉,20404,40.7858,500
113,新竹縣寶山鄉,14534,64.7871,224
113,新竹縣北埔鄉,8396,50.6676,166
113,新竹縣峨眉鄉,5081,46.8010,109
113,新竹縣尖石鄉,9523,527.5795,18
113,新竹縣五峰鄉,4439,227.7280,19
113,苗栗縣苗栗市,86025,37.8878,2271
113,苗栗縣頭份市,107478,53.3205,2016
113,苗栗縣苑裡鎮,43446,68.2473,637
113,苗栗縣通霄鎮,30893,107.8486,286
113,苗栗縣竹南鎮,90668,37.5592,2414
113,苗栗縣後龍鎮,33701,75.8079,445
113,苗栗縣卓蘭鎮,14890,76.3153,195
113,苗栗縣大湖鄉,12641,90.8396,139
113,苗栗縣公館鄉,30871,71.4523,432
113,苗栗縣銅鑼鄉,16265,78.3805,208
113,苗栗縣南庄鄉,8686,165.4938,52
113,苗栗縣頭屋鄉,9627,52.5046,183
113,苗栗縣三義鄉,14713,69.3424,212
113,苗栗縣西湖鄉,6035,41.0758,147
113,苗栗縣造橋鄉,11582,47.9978,241
113,苗栗縣三灣鄉,5814,52.2964,111
113,苗栗縣獅潭鄉,4008,79.4324,50
113,苗栗縣泰安鄉,5511,614.5127,9
113,彰化縣彰化市,223689,65.6947,3405
113,彰化縣員林市,122742,40.0380,3066
113,彰化縣鹿港鎮,83588,39.4625,2118
113,彰化縣和美鎮,87370,39.9345,2188
113,彰化縣北斗鎮,33238,19.2547,1726
113,彰化縣溪湖鎮,53385,32.0592,1665
113,彰化縣田中鎮,38819,34.6056,1122
113,彰化縣二林鎮,47119,92.8478,507
113,彰化縣線西鄉,16182,18.0856,895
113,彰化縣伸港鄉,38422,22.3268,1721
113,彰化縣福興鄉,44773,49.8934,897
113,彰化縣秀水鄉,37773,29.3447,1287
113,彰化縣花壇鄉,43338,36.3469,1192
113,彰化縣芬園鄉,21772,38.0204,573
113,彰化縣大村鄉,39474,30.7837,1282
113,彰化縣埔鹽鄉,30546,38.6081,791
113,彰化縣埔心鄉,33366,20.9526,1592
113,彰化縣永靖鄉,34664,20.6382,1680
113,彰化縣社頭鄉,40842,36.1449,1130
113,彰化縣二水鄉,13547,29.4449,460
113,彰化縣田尾鄉,25525,24.0375,1062
113,彰化縣埤頭鄉,28484,42.7508,666
113,彰化縣芳苑鄉,30614,91.3827,335
113,彰化縣大城鄉,14548,63.7406,228
113,彰化縣竹塘鄉,14160,42.1662,336
113,彰化縣溪州鄉,27695,75.8310,365
113,南投縣南投市,97042,71.6021,1355
113,南投縣埔里鎮,76303,162.2227,470
113,南投縣草屯鎮,97147,104.0327,934
113,南投縣竹山鎮,50625,247.3339,205
113,南投縣集集鎮,9776,49.7268,197
113,南投縣名間鄉,35133,83.0955,423
113,南投縣鹿谷鄉,15832,141.8981,112
113,南投縣中寮鄉,13194,146.6541,90
113,南投縣魚池鄉,14414,121.3735,119
113,南投縣國姓鄉,16454,175.7042,94
113,南投縣水里鄉,15800,106.8424,148
113,南投縣信義鄉,15169,1422.4188,11
113,南投縣仁愛鄉,15410,1273.5312,12
113,雲林縣斗六市,109082,93.7151,1164
113,雲林縣斗南鎮,43509,48.1505,904
113,雲林縣虎尾鎮,70904,68.7420,1031
113,雲林縣西螺鎮,44313,49.7985,890
113,雲林縣土庫鎮,27361,49.0212,558
113,雲林縣北港鎮,37512,41.4999,904
113,雲林縣古坑鄉,29554,166.6059,177
113,雲林縣大埤鄉,17794,44.9973,395
113,雲林縣莿桐鄉,27450,50.8502,540
113,雲林縣林內鄉,16572,37.6035,441
113,雲林縣二崙鄉,24642,59.5625,414
113,雲林縣崙背鄉,22599,58.4840,386
113,雲林縣麥寮鄉,50001,80.1668,624
113,雲林縣東勢鄉,13197,48.3562,273
113,雲林縣褒忠鄉,11777,37.0552,318
113,雲林縣臺西鄉,21424,54.0983,396
113,雲林縣元長鄉,23020,71.5872,322
113,雲林縣四湖鄉,20698,77.1189,268
113,雲林縣口湖鄉,24592,80.4612,306
113,雲林縣水林鄉,22426,72.9582,307
113,嘉義縣太保市,39342,66.8964,588
113,嘉義縣朴子市,40409,49.5737,815
113,嘉義縣布袋鎮,24121,61.7307,391
113,嘉義縣大林鎮,29610,64.1663,461
113,嘉義縣民雄鄉,69923,85.4969,818
113,嘉義縣溪口鄉,12944,33.0463,392
113,嘉義縣新港鄉,29617,66.0495,448
113,嘉義縣六腳鄉,20497,62.2619,329
113,嘉義縣東石鄉,22201,81.5821,272
113,嘉義縣義竹鄉,16163,79.2925,204
113,嘉義縣鹿草鄉,13891,54.3151,256
113,嘉義縣水上鄉,47366,69.1198,685
113,嘉義縣中埔鄉,42190,129.5016,326
113,嘉義縣竹崎鄉,32759,162.2256,202
113,嘉義縣梅山鄉,17497,119.7571,146
113,嘉義縣番路鄉,10697,117.5269,91
113,嘉義縣大埔鄉,4323,173.2472,25
113,嘉義縣阿里山鄉,5236,427.8471,12
113,屏東縣屏東市,192657,65.0670,2961
113,屏東縣潮州鎮,53575,42.4331,1263
113,屏東縣東港鎮,45936,29.4635,1559
113,屏東縣恆春鎮,29375,136.7630,215
113,屏東縣萬丹鄉,48946,57.4679,852
113,屏東縣長治鄉,29229,39.8861,733
113,屏東縣麟洛鄉,10483,16.2600,645
113,屏東縣九如鄉,21552,42.0187,513
113,屏東縣里港鄉,25347,68.9208,368
113,屏東縣鹽埔鄉,23529,64.3493,366
113,屏東縣高樹鄉,22336,90.1522,248
113,屏東縣萬巒鄉,19010,60.7315,313
113,屏東縣內埔鄉,52646,81.8554,643
113,屏東縣竹田鄉,15581,29.0732,536
113,屏東縣新埤鄉,9177,59.0102,156
113,屏東縣枋寮鄉,22593,57.7347,391
113,屏東縣新園鄉,32198,38.3109,840
113,屏東縣崁頂鄉,14932,31.2659,478
113,屏東縣林邊鄉,16087,15.6233,1030
113,屏東縣南州鄉,9698,18.9700,511
113,屏東縣佳冬鄉,17591,30.9842,568
113,屏東縣琉球鄉,12190,6.8018,1792
113,屏東縣車城鄉,7842,49.8517,157
113,屏東縣滿州鄉,7063,142.2013,50
113,屏東縣枋山鄉,4966,17.2697,288
113,屏東縣三地門鄉,7683,196.3965,39
113,屏東縣霧臺鄉,3235,278.7960,12
113,屏東縣瑪家鄉,6696,78.7008,85
113,屏東縣泰武鄉,5259,118.6266,44
113,屏東縣來義鄉,7355,167.7756,44
113,屏東縣春日鄉,4860,160.0010,30
113,屏東縣獅子鄉,4905,301.0018,16
113,屏東縣牡丹鄉,4707,181.8366,26
113,臺東縣臺東市,103115,109.7691,939
113,臺東縣成功鎮,12926,143.9939,90
113,臺東縣關山鎮,7954,58.7351,135
113,臺東縣卑南鄉,16472,412.6871,40
113,臺東縣大武鄉,5465,69.1454,79
113,臺東縣太麻里鄉,10569,96.6523,109
113,臺東縣東河鄉,7822,210.1908,37
113,臺東縣長濱鄉,6538,155.1868,42
113,臺東縣鹿野鄉,7047,89.6980,79
113,臺東縣池上鄉,7696,82.6854,93
113,臺東縣綠島鄉,4385,15.0919,291
113,臺東縣延平鄉,3557,455.8805,8
113,臺東縣海端鄉,4300,880.0382,5
113,臺東縣達仁鄉,3409,306.4454,11
113,臺東縣金峰鄉,3687,380.6635,10
113,臺東縣蘭嶼鄉,5277,48.3892,109
113,花蓮縣花蓮市,98324,29.4095,3343
113,花蓮縣鳳林鎮,10306,120.5181,86
113,花蓮縣玉里鎮,21670,252.3719,86
113,花蓮縣新城鄉,20323,29.4095,691
113,花蓮縣吉安鄉,83135,65.2582,1274
113,花蓮縣壽豐鄉,16737,218.4448,77
113,花蓮縣光復鄉,11534,157.1100,73
113,花蓮縣豐濱鄉,4147,162.4332,26
113,花蓮縣瑞穗鄉,10584,135.5862,78
113,花蓮縣富里鄉,9530,176.3705,54
113,花蓮縣秀林鄉,17095,1641.8555,10
113,花蓮縣萬榮鄉,6070,618.4910,10
113,花蓮縣卓溪鄉,5919,1021.3130,6
113,澎湖縣馬公市,64078,33.9918,1885
113,澎湖縣湖西鄉,16124,33.3008,484
113,澎湖縣白沙鄉,10137,20.0875,505
113,澎湖縣西嶼鄉,8207,18.7148,439
113,澎湖縣望安鄉,5424,13.7824,394
113,澎湖縣七美鄉,3931,6.9868,563
113,基隆市中正區,50950,10.2118,4989
113,基隆市七堵區,52528,56.2659,934
113,基隆市暖暖區,38334,22.8283,1679
113,基隆市仁愛區,40515,4.2335,9570
113,基隆市中山區,45859,10.5238,4358
113,基隆市安樂區,80060,18.0250,4442
113,基隆市信義區,53195,10.6706,4985
113,新竹市東區,224043,33.5768,6673
113,新竹市北區,153897,15.7267,9786
113,新竹市香山區,79302,54.8491,1446
113,嘉義市東區,117300,30.1556,3890
113,嘉義市西區,144877,29.8700,4850
113,金門縣金城鎮,42719,21.7130,1967
113,金門縣金湖鎮,31209,41.6960,748
113,金門縣金沙鎮,20680,41.1900,502
113,金門縣金寧鄉,35809,29.8540,1199
113,金門縣烈嶼鄉,12538,16.0030,783
113,金門縣烏坵鄉,646,1.2000,538
113,連江縣南竿鄉,7815,10.4000,751
113,連江縣北竿鄉,3062,9.9000,309
113,連江縣莒光鄉,1518,4.7000,323
113,連江縣東引鄉,1555,3.8000,409
113,東沙群島,…,2.3800,…
113,南沙群島,…,0.5045,…
