統計年,鄉鎮市區,人口數,面積(平方公里),人口密度(人/平方公里)
113,臺南市新化區,42292,62.0579,681
113,臺南市善化區,53300,55.3097,964
113,臺南市新市區,37913,47.8096,793
113,臺南市安定區,29842,31.27,954
113,臺南市山上區,6916,27.878,248
113,臺南市玉井區,12830,76.3662,168
113,臺南市楠西區,8532,109.6316,78
113,臺南市南化區,7786,171.5198,45
113,臺南市左鎮區,4124,74.9025,55
113,臺南市仁德區,77574,50.7664,1528
113,臺南市歸仁區,69818,55.7913,1251
113,臺南市關廟區,33048,53.6413,616
113,臺南市龍崎區,3352,64.0814,52
113,臺南市永康區,235623,40.2753,5850
113,臺南市東區,181962,13.4156,13563
113,臺南市南區,120323,27.2681,4413
113,臺南市北區,125821,10.434,12059
113,臺南市安南區,203838,107.2016,1901
113,臺南市安平區,70321,11.0663,6355
113,臺南市中西區,77124,6.26,12320
113,高雄市鹽埕區,22275,1.4161,15730
113,高雄市鼓山區,141277,14.7523,9577
113,高雄市左營區,197784,19.3823,10204
113,高雄市楠梓區,194404,25.8276,7527
113,高雄市三民區,330287,19.7866,16692
113,高雄市新興區,49573,1.9764,25082
113,高雄市前金區,27199,1.8573,14644
113,高雄市苓雅區,163295,8.1522,20031
113,高雄市前鎮區,178290,19.1207,9324
113,高雄市旗津區,25587,1.7341,14755
113,高雄市小港區,154354,45.4426,3397
113,高雄市鳳山區,355175,26.759,13273
113,高雄市林園區,67903,32.286,2103
113,高雄市大寮區,112213,71.04,1580
113,高雄市大樹區,40163,66.9811,600
113,高雄市大社區,33754,26.5848,1270
113,高雄市仁武區,98956,36.0808,2743
113,高雄市鳥松區,44233,24.5927,1799
113,高雄市岡山區,95176,47.9421,1985
113,高雄市橋頭區,42671,25.9379,1645
113,高雄市燕巢區,28576,65.395,437
113,高雄市田寮區,6298,92.6802,68
113,高雄市阿蓮區,27131,34.6164,784
113,高雄市路竹區,49715,48.4348,1026
113,高雄市湖內區,29396,20.1615,1458
113,高雄市茄萣區,28959,15.7624,1837
113,高雄市永安區,13823,22.6141,611
113,高雄市彌陀區,18069,14.7772,1223
113,高雄市梓官區,34792,11.5967,3000
113,高雄市旗山區,33818,94.6122,357
113,高雄市美濃區,36545,120.0316,304
113,高雄市六龜區,11511,194.1584,59
113,高雄市甲仙區,5412,124.034,44
113,高雄市杉林區,10714,104.0036,103
113,高雄市內門區,12893,95.6224,135
113,高雄市茂林區,1869,194.0,10
113,高雄市桃源區,4190,928.98,5
113,高雄市那瑪夏區,3132,252.9895,12
113,宜蘭縣宜蘭市,94890,29.408,3227
113,宜蘭縣羅東鎮,69638,11.3448,6138
113,宜蘭縣蘇澳鎮,36882,89.0196,414
113,宜蘭縣頭城鎮,27982,100.893,277
113,宜蘭縣礁溪鄉,35399,101.4278,349
113,宜蘭縣壯圍鄉,24469,38.4769,636
113,宜蘭縣員山鄉,31986,111.9106,286
113,宜蘭縣冬山鄉,53117,79.8573,665
113,宜蘭縣五結鄉,41600,38.8671,1070
113,宜蘭縣三星鄉,21179,144.2238,147
113,宜蘭縣大同鄉,5980,657.5442,9
113,宜蘭縣南澳鄉,6090,740.652,8
113,新竹縣竹北市,219605,46.8341,4689
113,新竹縣關西鎮,26388,125.5193,210
113,新竹縣新埔鎮,33464,72.1911,464
113,新竹縣竹東鎮,97733,53.5133,1826
113,新竹縣湖口鄉,83748,58.4303,1433
113,新竹縣橫山鄉,11990,66.3502,181
113,新竹縣新豐鄉,59336,46.3496,1280
113,新竹縣芎林鄉,20404,40.7858,500
113,新竹縣寶山鄉,14534,64.7871,224
113,新竹縣北埔鄉,8396,50.6676,166
113,新竹縣峨眉鄉,5081,46.801,109
113,新竹縣尖石鄉,9523,527.5795,18
113,新竹縣五峰鄉,4439,227.728,19
113,苗栗縣苗栗市,86025,37.8878,2271
113,苗栗縣頭份市,107478,53.3205,2016
113,苗栗縣苑裡鎮,43446,68.2473,637
113,苗栗縣通霄鎮,30893,107.8486,286
113,苗栗縣竹南鎮,90668,37.5592,2414
113,苗栗縣後龍鎮,33701,75.8079,445
113,苗栗縣卓蘭鎮,14890,76.3153,195
113,苗栗縣大湖鄉,12641,90.8396,139
113,苗栗縣公館鄉,30871,71.4523,432
113,苗栗縣銅鑼鄉,16265,78.3805,208
113,苗栗縣南庄鄉,8686,165.4938,52
113,苗栗縣頭屋鄉,9627,52.5046,183
113,苗栗縣三義鄉,14713,69.3424,212
113,苗栗縣西湖鄉,6035,41.0758,147
113,苗栗縣造橋鄉,11582,47.9978,241
113,苗栗縣三灣鄉,5814,52.2964,111
113,苗栗縣獅潭鄉,4008,79.4324,50
113,苗栗縣泰安鄉,5511,614.5127,9
113,彰化縣彰化市,223689,65.6947,3405
113,彰化縣員林市,122742,40.038,3066
113,彰化縣鹿港鎮,83588,39.4625,2118
113,彰化縣和美鎮,87370,39.9345,2188
113,彰化縣北斗鎮,33238,19.2547,1726
113,彰化縣溪湖鎮,53385,32.0592,1665
113,彰化縣田中鎮,38819,34.6056,1122
113,彰化縣二林鎮,47119,92.8478,507
113,彰化縣線西鄉,16182,18.0856,895
113,彰化縣伸港鄉,38422,22.3268,1721
113,彰化縣福興鄉,44773,49.8934,897
113,彰化縣秀水鄉,37773,29.3447,1287
113,彰化縣花壇鄉,43338,36.3469,1192
113,彰化縣芬園鄉,21772,38.0204,573
113,彰化縣大村鄉,39474,30.7837,1282
113,彰化縣埔鹽鄉,30546,38.6081,791
113,彰化縣埔心鄉,33366,20.9526,1592
113,彰化縣永靖鄉,34664,20.6382,1680
113,彰化縣社頭鄉,40842,36.1449,1130
113,彰化縣二水鄉,13547,29.4449,460
113,彰化縣田尾鄉,25525,24.0375,1062
113,彰化縣埤頭鄉,28484,42.7508,666
113,彰化縣芳苑鄉,30614,91.3827,335
113,彰化縣大城鄉,14548,63.7406,228
113,彰化縣竹塘鄉,14160,42.1662,336
113,彰化縣溪州鄉,27695,75.831,365
113,南投縣南投市,97042,71.6021,1355
113,南投縣埔里鎮,76303,162.2227,470
113,南投縣草屯鎮,97147,104.0327,934
113,南投縣竹山鎮,50625,247.3339,205
113,南投縣集集鎮,9776,49.7268,197
113,南投縣名間鄉,35133,83.0955,423
113,南投縣鹿谷鄉,15832,141.8981,112
113,南投縣中寮鄉,13194,146.6541,90
113,南投縣魚池鄉,14414,121.3735,119
113,南投縣國姓鄉,16454,175.7042,94
113,南投縣水里鄉,15800,106.8424,148
113,南投縣信義鄉,15169,1422.4188,11
113,南投縣仁愛鄉,15410,1273.5312,12
113,雲林縣斗六市,109082,93.7151,1164
113,雲林縣斗南鎮,43509,48.1505,904
113,雲林縣虎尾鎮,70904,68.742,1031
113,雲林縣西螺鎮,44313,49.7985,890
113,雲林縣土庫鎮,27361,49.0212,558
113,雲林縣北港鎮,37512,41.4999,904
113,雲林縣古坑鄉,29554,166.6059,177
113,雲林縣大埤鄉,17794,44.9973,395
113,雲林縣莿桐鄉,27450,50.8502,540
113,雲林縣林內鄉,16572,37.6035,441
113,雲林縣二崙鄉,24642,59.5625,414
113,雲林縣崙背鄉,22599,58.484,386
113,雲林縣麥寮鄉,50001,80.1668,624
113,雲林縣東勢鄉,13197,48.3562,273
113,雲林縣褒忠鄉,11777,37.0552,318
113,雲林縣臺西鄉,21424,54.0983,396
113,雲林縣元長鄉,23020,71.5872,322
113,雲林縣四湖鄉,20698,77.1189,268
113,雲林縣口湖鄉,24592,80.4612,306
113,雲林縣水林鄉,22426,72.9582,307
113,嘉義縣太保市,39342,66.8964,588
113,嘉義縣朴子市,40409,49.5737,815
113,嘉義縣布袋鎮,24121,61.7307,391
113,嘉義縣大林鎮,29610,64.1663,461
113,嘉義縣民雄鄉,69923,85.4969,818
113,嘉義縣溪口鄉,12944,33.0463,392
113,嘉義縣新港鄉,29617,66.0495,448
113,嘉義縣六腳鄉,20497,62.2619,329
113,嘉義縣東石鄉,22201,81.5821,272
113,嘉義縣義竹鄉,16163,79.2925,204
113,嘉義縣鹿草鄉,13891,54.3151,256
113,嘉義縣水上鄉,47366,69.1198,685
