站點名稱,城市,AQI,狀態
安南,臺南市,87,普通
善化,臺南市,86,普通
新營,臺南市,80,普通
嘉義,嘉義市,87,普通
臺西,雲林縣,60,普通
朴子,嘉義縣,81,普通
新港,嘉義縣,84,普通
崙背,雲林縣,66,普通
斗六,雲林縣,81,普通
南投,南投縣,67,普通
二林,彰化縣,61,普通
線西,彰化縣,43,良好
彰化,彰化縣,55,普通
西屯,臺中市,51,普通
忠明,臺中市,49,良好
大里,臺中市,68,普通
沙鹿,臺中市,49,良好
豐原,臺中市,27,良好
三義,苗栗縣,24,良好
苗栗,苗栗縣,53,普通
頭份,苗栗縣,33,良好
新竹,新竹市,43,良好
竹東,新竹縣,29,良好
湖口,新竹縣,43,良好
龍潭,桃園市,42,良好
平鎮,桃園市,45,良好
觀音,桃園市,61,普通
大園,桃園市,49,良好
桃園,桃園市,33,良好
大同,臺北市,56,普通
松山,臺北市,46,良好
古亭,臺北市,32,良好
萬華,臺北市,35,良好
中山,臺北市,43,良好
士林,臺北市,39,良好
淡水,新北市,31,良好
林口,新北市,35,良好
菜寮,新北市,34,良好
新莊,新北市,42,良好
板橋,新北市,49,良好
土城,新北市,40,良好
新店,新北市,45,良好
汐止,新北市,47,良好
基隆,基隆市,36,良好
屏東(枋山),屏東縣,64,普通
臺南（南化）,臺南市,63,普通
新北(樹林),新北市,40,良好
台中市（和平區）,臺中市,19,良好
屏東（琉球）,屏東縣,99,普通
南投（鹿谷）,南投縣,41,良好
高雄（湖內）,高雄市,95,普通
宜蘭（三星）,宜蘭縣,13,良好
員林,彰化縣,69,普通
大城,彰化縣,77,普通
富貴角,新北市,57,普通
麥寮,雲林縣,64,普通
關山,臺東縣,30,良好
馬公,澎湖縣,54,普通
金門,金門縣,78,普通
馬祖,連江縣,84,普通
埔里,南投縣,71,普通
復興,高雄市,109,對敏感族群不健康
永和,新北市,41,良好
竹山,南投縣,73,普通
中壢,桃園市,52,普通
三重,新北市,57,普通
冬山,宜蘭縣,28,良好
宜蘭,宜蘭縣,24,良好
陽明,臺北市,41,良好
花蓮,花蓮縣,21,良好
臺東,臺東縣,32,良好
恆春,屏東縣,50,良好
潮州,屏東縣,90,普通
屏東,屏東縣,99,普通
小港,高雄市,112,對敏感族群不健康
前鎮,高雄市,103,對敏感族群不健康
前金,高雄市,88,普通
左營,高雄市,99,普通
楠梓,高雄市,94,普通
林園,高雄市,113,對敏感族群不健康
大寮,高雄市,114,對敏感族群不健康
鳳山,高雄市,110,對敏感族群不健康
仁武,高雄市,93,普通
橋頭,高雄市,97,普通
美濃,高雄市,84,普通
臺南,臺南市,113,對敏感族群不健康
安南,臺南市,82,普通
善化,臺南市,84,普通
新營,臺南市,76,普通
嘉義,嘉義市,88,普通
臺西,雲林縣,62,普通
朴子,嘉義縣,81,普通
新港,嘉義縣,81,普通
崙背,雲林縣,66,普通
斗六,雲林縣,86,普通
南投,南投縣,68,普通
二林,彰化縣,56,普通
線西,彰化縣,42,良好
彰化,彰化縣,56,普通
西屯,臺中市,53,普通
忠明,臺中市,52,普通
大里,臺中市,66,普通
沙鹿,臺中市,48,良好
豐原,臺中市,29,良好
三義,苗栗縣,25,良好
苗栗,苗栗縣,55,普通
頭份,苗栗縣,35,良好
新竹,新竹市,41,良好
竹東,新竹縣,34,良好
湖口,新竹縣,42,良好
龍潭,桃園市,38,良好
平鎮,桃園市,39,良好
觀音,桃園市,51,普通
大園,桃園市,45,良好
桃園,桃園市,33,良好
大同,臺北市,50,良好
松山,臺北市,45,良好
古亭,臺北市,32,良好
萬華,臺北市,36,良好
中山,臺北市,43,良好
士林,臺北市,39,良好
淡水,新北市,29,良好
林口,新北市,36,良好
菜寮,新北市,32,良好
新莊,新北市,42,良好
板橋,新北市,50,良好
土城,新北市,38,良好
新店,新北市,42,良好
汐止,新北市,46,良好
基隆,基隆市,36,良好
屏東(枋山),屏東縣,62,普通
臺南（南化）,臺南市,65,普通
新北(樹林),新北市,40,良好
台中市（和平區）,臺中市,21,良好
屏東（琉球）,屏東縣,98,普通
南投（鹿谷）,南投縣,46,良好
高雄（湖內）,高雄市,91,普通
宜蘭（三星）,宜蘭縣,13,良好
員林,彰化縣,67,普通
大城,彰化縣,86,普通
富貴角,新北市,58,普通
麥寮,雲林縣,65,普通
關山,臺東縣,30,良好
馬公,澎湖縣,58,普通
金門,金門縣,79,普通
馬祖,連江縣,85,普通
埔里,南投縣,76,普通
復興,高雄市,109,對敏感族群不健康
永和,新北市,38,良好
竹山,南投縣,77,普通
中壢,桃園市,47,良好
三重,新北市,55,普通
冬山,宜蘭縣,26,良好
宜蘭,宜蘭縣,27,良好
陽明,臺北市,42,良好
花蓮,花蓮縣,23,良好
臺東,臺東縣,33,良好
恆春,屏東縣,51,普通
潮州,屏東縣,91,普通
屏東,屏東縣,103,對敏感族群不健康
小港,高雄市,109,對敏感族群不健康
前鎮,高雄市,99,普通
前金,高雄市,86,普通
左營,高雄市,97,普通
楠梓,高雄市,95,普通
林園,高雄市,112,對敏感族群不健康
大寮,高雄市,113,對敏感族群不健康
鳳山,高雄市,108,對敏感族群不健康
仁武,高雄市,92,普通
橋頭,高雄市,96,普通
美濃,高雄市,86,普通
臺南,臺南市,99,普通
安南,臺南市,76,普通
善化,臺南市,85,普通
新營,臺南市,73,普通
嘉義,嘉義市,85,普通
臺西,雲林縣,63,普通
朴子,嘉義縣,78,普通
新港,嘉義縣,75,普通
崙背,雲林縣,65,普通
斗六,雲林縣,90,普通
南投,南投縣,70,普通
二林,彰化縣,55,普通
線西,彰化縣,44,良好
彰化,彰化縣,57,普通
西屯,臺中市,53,普通
忠明,臺中市,53,普通
大里,臺中市,65,普通
沙鹿,臺中市,52,普通
豐原,臺中市,31,良好
三義,苗栗縣,28,良好
苗栗,苗栗縣,52,普通
頭份,苗栗縣,39,良好
新竹,新竹市,40,良好
竹東,新竹縣,35,良好
湖口,新竹縣,37,良好
龍潭,桃園市,37,良好
平鎮,桃園市,38,良好
觀音,桃園市,48,良好
大園,桃園市,42,良好
桃園,桃園市,34,良好
大同,臺北市,48,良好
松山,臺北市,49,良好
古亭,臺北市,32,良好
萬華,臺北市,36,良好
中山,臺北市,44,良好
士林,臺北市,39,良好
淡水,新北市,31,良好
林口,新北市,37,良好
菜寮,新北市,32,良好
新莊,新北市,42,良好
板橋,新北市,48,良好
土城,新北市,42,良好
新店,新北市,42,良好
汐止,新北市,44,良好
基隆,基隆市,38,良好
屏東(枋山),屏東縣,61,普通
臺南（南化）,臺南市,64,普通
新北(樹林),新北市,39,良好
台中市（和平區）,臺中市,23,良好
屏東（琉球）,屏東縣,95,普通
南投（鹿谷）,南投縣,49,良好
高雄（湖內）,高雄市,89,普通
宜蘭（三星）,宜蘭縣,14,良好
員林,彰化縣,68,普通
大城,彰化縣,88,普通
富貴角,新北市,59,普通
麥寮,雲林縣,64,普通
關山,臺東縣,32,良好
馬公,澎湖縣,56,普通
金門,金門縣,80,普通
馬祖,連江縣,86,普通
埔里,南投縣,79,普通
復興,高雄市,108,對敏感族群不健康
永和,新北市,36,良好
竹山,南投縣,78,普通
中壢,桃園市,45,良好
三重,新北市,54,普通
冬山,宜蘭縣,26,良好
宜蘭,宜蘭縣,30,良好
陽明,臺北市,42,良好
花蓮,花蓮縣,25,良好
臺東,臺東縣,38,良好
恆春,屏東縣,43,良好
潮州,屏東縣,89,普通
屏東,屏東縣,104,對敏感族群不健康
小港,高雄市,106,對敏感族群不健康
前鎮,高雄市,99,普通
前金,高雄市,94,普通
左營,高雄市,94,普通
楠梓,高雄市,94,普通
林園,高雄市,108,對敏感族群不健康
大寮,高雄市,112,對敏感族群不健康
鳳山,高雄市,107,對敏感族群不健康
仁武,高雄市,92,普通
橋頭,高雄市,96,普通
美濃,高雄市,86,普通
臺南,臺南市,84,普通
安南,臺南市,75,普通
善化,臺南市,85,普通
新營,臺南市,72,普通
嘉義,嘉義市,87,普通
臺西,雲林縣,62,普通
朴子,嘉義縣,73,普通
新港,嘉義縣,76,普通
崙背,雲林縣,64,普通
斗六,雲林縣,93,普通
南投,南投縣,71,普通
二林,彰化縣,55,普通
線西,彰化縣,47,良好
